/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:886: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  warnings.warn("The use of the transforms.RandomSizedCrop transform is deprecated, " +
/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:285: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 8 | Batch 90/100 | Loss 1.446035
100 Test Acc = 45.33% +- 1.64%
best model! save...
Epoch 9 | Batch 0/100 | Loss 1.576680
Epoch 9 | Batch 10/100 | Loss 1.464759
Epoch 9 | Batch 20/100 | Loss 1.448125
Epoch 9 | Batch 30/100 | Loss 1.453880
Epoch 9 | Batch 40/100 | Loss 1.443952
Epoch 9 | Batch 50/100 | Loss 1.440857
Epoch 9 | Batch 60/100 | Loss 1.432863
Epoch 9 | Batch 70/100 | Loss 1.438370
Epoch 9 | Batch 80/100 | Loss 1.434659
Epoch 9 | Batch 90/100 | Loss 1.433550
100 Test Acc = 46.42% +- 1.67%
best model! save...
Epoch 10 | Batch 0/100 | Loss 1.320582
Epoch 10 | Batch 10/100 | Loss 1.452243
Epoch 10 | Batch 20/100 | Loss 1.441090
Epoch 10 | Batch 30/100 | Loss 1.442727
Epoch 10 | Batch 40/100 | Loss 1.437552
Epoch 10 | Batch 50/100 | Loss 1.436382
Epoch 10 | Batch 60/100 | Loss 1.430737
Epoch 10 | Batch 70/100 | Loss 1.422743
Epoch 10 | Batch 80/100 | Loss 1.422657
Epoch 10 | Batch 90/100 | Loss 1.426051
100 Test Acc = 46.48% +- 1.61%
best model! save...
Epoch 11 | Batch 0/100 | Loss 1.595739
Epoch 11 | Batch 10/100 | Loss 1.410048
Epoch 11 | Batch 20/100 | Loss 1.405504
Epoch 11 | Batch 30/100 | Loss 1.425443
Epoch 11 | Batch 40/100 | Loss 1.433656
Epoch 11 | Batch 50/100 | Loss 1.417430
Epoch 11 | Batch 60/100 | Loss 1.421103
Epoch 11 | Batch 70/100 | Loss 1.415373
Epoch 11 | Batch 80/100 | Loss 1.417590
Epoch 11 | Batch 90/100 | Loss 1.418498
